bin1	bin2	out.mean
1	2	255.090354022988
1	3	350.392062895928
1	4	386.200492156863
1	5	435.31065952381
1	6	404.467795175439
1	7	411.161917628205
1	8	394.729850184502
1	9	411.994108333333
1	10	428.008075328947
1	11	442.823113821138
1	12	441.814364750958
1	13	457.174339705882
1	14	458.556544326241
1	15	450.502850537634
1	16	452.173631692308
1	17	447.051388122605
1	18	455.291957615894
1	19	445.06071
1	20	477.164427734375
1	21	463.522059863946
1	22	459.652762816901
1	23	486.490947509579
1	24	466.653009747292
1	25	465.840436445783
1	26	455.487741914191
1	27	457.205420062696
1	28	442.517129385965
1	29	438.452743076923
1	30	439.84409454023
1	31	411.649452529183
1	32	404.007455033557
1	33	426.390175815217
1	34	434.801415679443
1	35	448.97120623053
1	36	441.482979733333
1	37	447.617986195286
1	38	433.618433015873
1	39	456.098254061625
1	40	437.543131205674
1	41	430.074220348837
2	3	268.146314975845
2	4	359.263365217391
2	5	367.690932142857
2	6	364.043272340426
2	7	392.848227272727
2	8	376.224774774775
2	9	391.663116908213
2	10	400.210351898734
2	11	417.677388383838
2	12	444.294805069124
2	13	447.271132600733
2	14	437.066925321888
2	15	424.574566810345
2	16	445.06744745098
2	17	425.4615375
2	18	437.649134166667
2	19	436.827268309859
2	20	440.839725961538
2	21	445.166197468354
2	22	443.166439426523
2	23	441.34467952381
2	24	431.264543835616
2	25	426.245872284644
2	26	412.604077366255
2	27	430.3912308
2	28	434.479611827957
2	29	419.653862019231
2	30	420.623976071429
2	31	390.869789686099
2	32	389.209883665339
2	33	406.123938869258
2	34	409.185864224138
2	35	419.66138247012
2	36	425.625412837838
2	37	419.877095634921
2	38	415.231785606061
2	39	421.705672569444
2	40	393.824475
2	41	420.180836131387
3	4	262.854968
3	5	337.447925
3	6	328.413379661017
3	7	398.806188986784
3	8	388.415134653465
3	9	390.008254455446
3	10	394.244049773756
3	11	420.598132984293
3	12	423.651145454545
3	13	427.427418367347
3	14	435.230634259259
3	15	419.181973732719
3	16	417.852237662338
3	17	439.489383854167
3	18	421.726785779817
3	19	420.785993023256
3	20	443.533537566138
3	21	433.909052534562
3	22	434.829498859316
3	23	448.71414673913
3	24	447.574368269231
3	25	439.972961811024
3	26	439.433322321429
3	27	422.873086206897
3	28	419.479145283019
3	29	404.514853623188
3	30	402.24248778626
3	31	384.41021443299
3	32	380.895144491525
3	33	405.031063117871
3	34	395.687692592593
3	35	408.011450207469
3	36	407.122244525547
3	37	408.815034482759
3	38	417.577489243028
3	39	419.548716236162
3	40	407.793876303318
3	41	416.628896370968
4	5	275.36615045045
4	6	318.326557971014
4	7	354.300686861314
4	8	362.758220416667
4	9	379.118044690265
4	10	381.803915328467
4	11	409.357192307692
4	12	414.711964529915
4	13	427.514910967742
4	14	436.88027944664
4	15	417.508819615385
4	16	432.541890311419
4	17	429.270307423581
4	18	414.549765503876
4	19	411.910070607029
4	20	444.843102654867
4	21	421.33168515625
4	22	437.99802375
4	23	455.801695964126
4	24	446.738642570281
4	25	448.757805351171
4	26	427.382686988848
4	27	440.387340780142
4	28	438.724697382199
4	29	423.314341666667
4	30	397.538163754045
4	31	393.485375319149
4	32	392.076480727273
4	33	402.687644272446
4	34	401.5805264
4	35	416.130438351254
4	36	410.471695151515
4	37	421.143933457249
4	38	414.238408571429
4	39	414.11459556962
4	40	425.339938554217
4	41	432.041763036304
5	6	253.130571153846
5	7	337.309748695652
5	8	360.217293333333
5	9	357.648141798942
5	10	399.307972272727
5	11	430.501870949721
5	12	428.63684973822
5	13	426.2654348659
5	14	424.365218932039
5	15	436.564685116279
5	16	429.133175949367
5	17	418.879786432161
5	18	410.0526375
5	19	428.169535793358
5	20	440.412806417112
5	21	433.583124766355
5	22	435.655690038314
5	23	439.365469060773
5	24	434.23633546798
5	25	445.719242510121
5	26	426.483401345291
5	27	422.607571428571
5	28	398.745545625
5	29	433.329478061225
5	30	413.902648062015
5	31	392.052140816327
5	32	393.719343668122
5	33	412.804418450185
5	34	406.725615277778
5	35	414.824447478992
5	36	426.993895238095
5	37	428.998649557522
5	38	418.486233057851
5	39	424.876910071942
5	40	428.564400458716
5	41	429.1779468
6	7	242.292006985294
6	8	320.879236986301
6	9	299.90056076555
6	10	340.380407024793
6	11	381.142431034483
6	12	382.03257716895
6	13	391.874642599278
6	14	392.321086877828
6	15	384.178671179039
6	16	399.351259414226
6	17	391.207319323671
6	18	380.358570168067
6	19	396.682130633803
6	20	417.530050236967
6	21	391.687705882353
6	22	390.537233680556
6	23	411.756489690722
6	24	382.625710176991
6	25	409.302016788321
6	26	392.842165098039
6	27	393.662794941634
6	28	386.119061016949
6	29	387.822727962085
6	30	383.965465942029
6	31	365.049468867925
6	32	353.002281012658
6	33	374.772121875
6	34	384.192830973451
6	35	377.429522529644
6	36	387.465174048443
6	37	394.111623387097
6	38	381.594202281369
6	39	403.783980276817
6	40	387.706273275862
6	41	396.124763868613
7	8	248.345508588957
7	9	308.969909589041
7	10	335.785586322188
7	11	382.02591
7	12	391.717843835616
7	13	390.740008333333
7	14	393.077728846154
7	15	404.75080529595
7	16	395.411843839542
7	17	392.529336860068
7	18	390.536509393939
7	19	396.851016497462
7	20	430.642362199313
7	21	427.169776646707
7	22	394.98864292804
7	23	423.126555871886
7	24	400.298156270096
7	25	403.401114092141
7	26	413.113176246334
7	27	402.062703921569
7	28	408.2036956
7	29	397.863154576271
7	30	374.086219899244
7	31	370.994950519031
7	32	367.185560120846
7	33	370.33343225
7	34	389.52771372549
7	35	403.754502325581
7	36	389.53378626506
7	37	391.140206097561
7	38	389.338671590909
7	39	401.616161809045
7	40	395.579568831169
7	41	408.856140104167
8	9	209.690513422819
8	10	330.821192281879
8	11	350.919066796875
8	12	349.798851838235
8	13	363.514885459941
8	14	363.094572727273
8	15	369.605671232877
8	16	373.909102866242
8	17	363.930370119522
8	18	354.888704152249
8	19	362.278512931034
8	20	384.50963540856
8	21	388.341134628975
8	22	372.101720963173
8	23	378.345913043478
8	24	372.436956834532
8	25	382.411613230769
8	26	383.292980689655
8	27	375.105489905363
8	28	367.987194090909
8	29	364.566824719101
8	30	350.735523121387
8	31	349.190121969697
8	32	332.356228338762
8	33	357.998895810056
8	34	354.516883274021
8	35	368.302266229508
8	36	375.305663143631
8	37	364.360239189189
8	38	361.739916825397
8	39	381.040532
8	40	348.967137010676
8	41	368.966710479042
9	10	292.93126552901
9	11	343.833670168067
9	12	324.641935361217
9	13	358.690585173502
9	14	367.745124313726
9	15	357.424592579505
9	16	373.20499375
9	17	385.287190833333
9	18	356.306457692308
9	19	373.054708841463
9	20	388.118232377049
9	21	354.269407067138
9	22	356.143902108434
9	23	387.586157740586
9	24	357.691811895911
9	25	381.832633887043
9	26	360.545441696113
9	27	381.363043928571
9	28	370.424084285714
9	29	357.963165873016
9	30	351.545102153846
9	31	346.894186206897
9	32	328.065170671378
9	33	347.78943141994
9	34	361.130975
9	35	370.762294684385
9	36	376.941994236311
9	37	372.631648363636
9	38	365.036418481848
9	39	391.187185321101
9	40	363.006880384615
9	41	369.120839677419
10	11	242.305080689655
10	12	316.151602912621
10	13	316.609136243386
10	14	350.499027361563
10	15	348.075391054313
10	16	338.494446153846
10	17	354.180894520548
10	18	352.0222625387
10	19	344.389623273657
10	20	378.035427017544
10	21	366.352578996865
10	22	343.835342783505
10	23	374.945268265683
10	24	343.881501346801
10	25	355.934897478992
10	26	347.438983231707
10	27	346.466362931034
10	28	363.065383196721
10	29	348.7622
10	30	327.535500526316
10	31	321.387151929825
10	32	311.737409259259
10	33	314.713827959698
10	34	339.271601689189
10	35	358.105654005935
10	36	339.85950691358
10	37	367.330864797508
10	38	373.429772727273
10	39	375.763553524804
10	40	371.039455374593
