bin1	bin2	out.mean
1	2	230.010172
1	3	333.039886772487
1	4	355.515244537815
1	5	356.091832240437
1	6	370.677889915966
1	7	382.565861038961
1	8	381.321327915194
1	9	387.84677578125
1	10	399.081473144876
1	11	419.801862222222
1	12	419.337765037594
1	13	437.638691331269
1	14	426.285682130584
1	15	421.680861886792
1	16	421.838537694704
1	17	411.962804508197
1	18	415.450750352113
1	19	424.135388034188
1	20	441.995350592885
1	21	447.081149612403
1	22	419.399384876543
1	23	430.414332420091
1	24	442.211142510121
1	25	424.324264189189
1	26	422.484546405229
1	27	404.897531230284
1	28	403.034521097046
1	29	407.848238431373
1	30	397.175152941176
1	31	390.578439525692
1	32	395.974298555957
1	33	403.443196875
1	34	394.107776534296
1	35	387.243315217391
1	36	397.650221448468
1	37	394.793607638889
1	38	395.570196569921
1	39	401.012320718232
1	40	397.522125266904
1	41	411.171761337209
2	3	250.827061111111
2	4	340.370364622641
2	5	323.45977987013
2	6	354.792716931217
2	7	380.471389453125
2	8	355.878529032258
2	9	375.312959907834
2	10	388.147327777778
2	11	391.179699516908
2	12	405.033711158798
2	13	416.360732269504
2	14	394.67867164751
2	15	394.311927234043
2	16	393.327573333333
2	17	398.949864467005
2	18	411.857059030837
2	19	407.721702721088
2	20	410.45279138756
2	21	408.653666216216
2	22	415.449722344322
2	23	423.173434391534
2	24	426.645511764706
2	25	414.565853543307
2	26	403.948798106061
2	27	416.44433800738
2	28	382.852963316583
2	29	389.795174056604
2	30	413.644338078292
2	31	381.030748292683
2	32	383.499621238938
2	33	389.218244482759
2	34	387.953396035242
2	35	390.145164732143
2	36	386.872822483221
2	37	386.845597983871
2	38	379.999244303797
2	39	392.460310927152
2	40	369.783547478992
2	41	401.323360416667
3	4	255.455175621891
3	5	318.543064615385
3	6	320.173049685535
3	7	367.430306730769
3	8	361.059267821782
3	9	350.504519774011
3	10	379.136681521739
3	11	385.044798076923
3	12	382.95458839779
3	13	408.011200454545
3	14	394.12432961165
3	15	378.438987830688
3	16	383.294777464789
3	17	409.801210493827
3	18	392.306661256544
3	19	395.034508733624
3	20	404.977353658537
3	21	392.83400877193
3	22	391.955109389671
3	23	408.474068211921
3	24	396.882154913295
3	25	395.699922277228
3	26	373.932799069767
3	27	409.606578703704
3	28	385.320005031447
3	29	381.461161666667
3	30	410.725279545455
3	31	374.704381065089
3	32	365.44637253886
3	33	379.471757692308
3	34	377.404348691099
3	35	372.464912953368
3	36	379.219121645022
3	37	390.0996328125
3	38	357.698455335968
3	39	376.740182113821
3	40	355.09999375
3	41	386.26374661017
4	5	253.900400515464
4	6	342.381957819905
4	7	370.780393594306
4	8	366.43711954023
4	9	375.512599134199
4	10	366.53143755102
4	11	405.942562135922
4	12	401.774622270742
4	13	402.84221875
4	14	422.853303831418
4	15	417.7118825
4	16	412.970692086331
4	17	427.564035576923
4	18	420.831219421488
4	19	413.247237620579
4	20	397.246594545455
4	21	412.211638666667
4	22	409.02426101083
4	23	406.154210416667
4	24	419.402522897196
4	25	402.860524528302
4	26	397.666166666667
4	27	405.93785
4	28	384.921400961538
4	29	402.168174889868
4	30	404.965568989547
4	31	389.732572115385
4	32	378.999178661088
4	33	378.78862
4	34	381.098050607287
4	35	365.539667213115
4	36	390.669961736334
4	37	385.340341897233
4	38	371.584535119048
4	39	382.320911692308
4	40	375.775313688213
4	41	400.582612337662
5	6	264.743393582888
5	7	344.886451152074
5	8	323.872791542289
5	9	330.395621022727
5	10	347.665659390863
5	11	380.002325153374
5	12	374.504035519126
5	13	382.144368609865
5	14	379.393183009709
5	15	393.4816
5	16	392.417668867925
5	17	404.383545679012
5	18	393.014050802139
5	19	386.840521794872
5	20	401.061551412429
5	21	393.935834659091
5	22	401.664659545455
5	23	393.673041509434
5	24	392.651356363636
5	25	396.680893434343
5	26	369.735278846154
5	27	391.65562706422
5	28	363.785334337349
5	29	386.506526775956
5	30	379.118236842105
5	31	360.414787283237
5	32	359.450908241758
5	33	376.1971406639
5	34	358.337175879397
5	35	361.430293034826
5	36	357.430649166667
5	37	358.9885625
5	38	346.178414566929
5	39	373.522541434263
5	40	357.867902912621
5	41	381.342847916667
6	7	233.922889250814
6	8	299.514241992883
6	9	290.521284758364
6	10	338.811938846154
6	11	369.207416425121
6	12	383.186085833333
6	13	401.895206484642
6	14	391.842030534351
6	15	355.894268312757
6	16	373.774825773196
6	17	400.315551428571
6	18	365.297876422764
6	19	371.720058842444
6	20	397.990383928571
6	21	375.504508119658
6	22	371.969111034483
6	23	384.522678403756
6	24	393.896902222222
6	25	401.456905185185
6	26	368.626517985611
6	27	393.75860899654
6	28	365.834091189427
6	29	363.402924267782
6	30	371.503482958199
6	31	356.327723744292
6	32	354.366643032787
6	33	365.058457366771
6	34	351.278625396825
6	35	346.881903265306
6	36	357.105389473684
6	37	366.131512890625
6	38	344.253703812317
6	39	378.75374030303
6	40	352.984006614786
6	41	389.898932692308
7	8	249.627976266667
7	9	304.679166875
7	10	339.140256456456
7	11	367.485790252708
7	12	372.387681847134
7	13	392.086133502538
7	14	403.597117613636
7	15	392.696871974522
7	16	391.023068051948
7	17	383.164184482759
7	18	393.37853373494
7	19	392.164313411765
7	20	396.075356462585
7	21	391.537728387097
7	22	376.056153689567
7	23	405.06569509434
7	24	412.91686338983
7	25	406.902339093484
7	26	401.399481233244
7	27	407.347784350133
7	28	382.933736042403
7	29	384.462143630573
7	30	388.074744665012
7	31	356.195636785714
7	32	365.553760436137
7	33	366.234044497608
7	34	366.797437386018
7	35	372.730185846154
7	36	360.419407764706
7	37	371.341495508982
7	38	365.375537610619
7	39	375.201815850816
7	40	365.715192238806
7	41	400.64083627451
8	9	215.15343445122
8	10	318.638863344051
8	11	334.035681273408
8	12	332.451868243243
8	13	371.285510803324
8	14	362.759102416918
8	15	364.645038741722
8	16	371.442669230769
8	17	365.103314179104
8	18	371.110036774194
8	19	361.981189203085
8	20	364.978103900709
8	21	353.015288214286
8	22	359.43758700565
8	23	358.984968503937
8	24	373.335796057348
8	25	381.124002453988
8	26	353.966222701149
8	27	382.656658757062
8	28	343.465397849462
8	29	365.071745084746
8	30	372.38408962766
8	31	315.628268679245
8	32	336.001038511327
8	33	344.014333160622
8	34	324.888896141479
8	35	343.707273202614
8	36	338.594590379747
