chr1	x1	x2	chr2	y1	y2	bin1	bin2	Case	Ctrl	Tstat	Pvalue	Ctrl.ll	Ctrl.h	Ctrl.v	FDR
3	34646078	34651078	3	34761078	34766078	10	33	314.713827959698	390.829142975623	-8.04117077208914	5.97102178634256e-15	362.144166155862	365.914650431317	372.668360348002	1.81342143140774e-13
3	34646078	34651078	3	34756078	34761078	10	32	311.737409259259	390.023164536234	-7.47892796622414	4.65375253732979e-13	361.984236866943	364.818404624604	358.888471230524	1.06551979886603e-11
3	34651078	34656078	3	34756078	34761078	11	32	313.036094584838	388.105581325067	-6.50878023983128	2.8095438673488e-10	357.80457114166	365.44622348547	356.607273472953	4.79963744005419e-09
3	34656078	34661078	3	34756078	34761078	12	32	309.337445512821	382.771632116898	-6.21307290742656	1.40166734084298e-09	354.341710618927	364.763165548934	353.401555427373	2.01643371840569e-08
3	34646078	34651078	3	34751078	34756078	10	31	321.387151929825	388.72236950145	-6.14058801463736	2.23979156499917e-09	359.847710886552	363.673331425772	363.362130291736	3.11293064965986e-08
3	34646078	34651078	3	34746078	34751078	10	30	327.535500526316	387.920440567139	-5.75228016851195	1.57031984522186e-08	360.130891222272	366.36747533085	379.414268874056	2.01197230169051e-07
3	34636078	34641078	3	34756078	34761078	8	32	332.356228338762	389.349922785552	-5.42327778269394	1.02763099586594e-07	361.159013318142	374.058306136514	350.817888001731	1.17035752306955e-06
3	34651078	34656078	3	34751078	34756078	11	31	320.56602016129	387.204874198056	-5.32425111203757	2.04689510482889e-07	355.757990450524	366.901078480715	364.813306486971	2.20849208678907e-06
3	34641078	34646078	3	34756078	34761078	9	32	328.065170671378	388.920309597951	-5.27501339707979	2.35876136182547e-07	360.150415870221	376.346134743435	354.542542632504	2.51192768402193e-06
3	34646078	34651078	3	34766078	34771078	10	34	339.271601689189	390.227975591809	-4.73548325677428	3.12638790579629e-06	359.608979371071	362.61712545679	387.24325201366	2.47881502852893e-05
3	34651078	34656078	3	34766078	34771078	11	34	336.104572200772	388.726787996327	-4.46132277881491	1.14470530307693e-05	356.969502744196	362.258640710075	386.536208257912	7.73256199777956e-05
