chr	start	end	pos
3	34601078	34606078	1
3	34606078	34611078	2
3	34611078	34616078	3
3	34616078	34621078	4
3	34621078	34626078	5
3	34626078	34631078	6
3	34631078	34636078	7
3	34636078	34641078	8
3	34641078	34646078	9
3	34646078	34651078	10
3	34651078	34656078	11
3	34656078	34661078	12
3	34661078	34666078	13
3	34666078	34671078	14
3	34671078	34676078	15
3	34676078	34681078	16
3	34681078	34686078	17
3	34686078	34691078	18
3	34691078	34696078	19
3	34696078	34701078	20
3	34701078	34706078	21
3	34706078	34711078	22
3	34711078	34716078	23
3	34716078	34721078	24
3	34721078	34726078	25
3	34726078	34731078	26
3	34731078	34736078	27
3	34736078	34741078	28
3	34741078	34746078	29
3	34746078	34751078	30
3	34751078	34756078	31
3	34756078	34761078	32
3	34761078	34766078	33
3	34766078	34771078	34
3	34771078	34776078	35
3	34776078	34781078	36
3	34781078	34786078	37
3	34786078	34791078	38
3	34791078	34796078	39
3	34796078	34801078	40
3	34801078	34806078	41
