chr	cell_id	pos	x	y	z
3	11	5	26455.1632778484	22916.0777968758	5128.80106891509
3	11	6	26457.1072138036	23137.8787232422	5190.87372438206
3	11	7	26490.3427393241	23064.345545944	5163.71111726177
3	11	8	26537.3207712125	23157.0652044092	5024.56148247036
3	11	9	26492.1066614856	22969.7121587556	4959.33735344102
3	11	10	26427.6518429637	22902.4035527966	5002.30549464052
3	11	11	26424.572106891	23068.9319841346	4973.94539486836
3	11	12	26479.073476262	22946.0600126782	4962.27603312211
3	11	14	26599.540764142	23149.8376561325	4745.05012843974
3	11	15	26473.3504586202	22980.0726143887	4852.24403626113
3	11	16	26508.2676077581	23000.0210857198	4709.75817467134
3	11	17	26269.2975658065	23072.1763206017	4685.21298208196
3	11	18	26298.0893572093	23008.5601557046	5084.97537264511
3	11	20	26200.3683492877	22927.2637619841	5133.99131581627
3	11	21	26331.6833526731	22999.760692319	5051.68640252017
3	11	22	26091.2975613689	22802.3308281304	5078.45294403401
3	11	23	26219.3630827147	22893.940950945	5191.36392159869
3	11	24	26231.9110575236	22787.277969085	5124.40296868779
3	11	25	26456.3892313731	22934.5936511196	4834.23322948202
3	11	27	26508.5730072766	23003.9419859419	4985.38748091779
3	11	28	26402.2121114516	22825.3402351447	4995.19305780654
3	11	29	26419.1775690883	22928.9903619476	4887.34612165775
3	11	31	26529.6125405828	22866.2348522201	4893.56997023192
3	11	32	26487.2330936222	22956.5430303477	4869.15739496243
3	11	34	26556.6561255355	22916.2487155178	4754.10671106569
3	11	35	26399.6768454576	22873.6115438292	4908.37106644404
3	11	37	26253.5146258221	22454.9826189234	5121.35664812142
3	11	38	26470.2085983157	22695.2380486429	4931.14407682597
3	11	39	26409.7823822714	22594.5774654948	4977.53384131744
3	11	40	26510.6147455667	22555.6955290774	4926.64551685517
3	11	41	26499.6175710958	22596.3295890486	4946.90458252775
3	14	4	26829.1212654796	41182.2112354173	5557.08949211277
3	14	5	26609.982786325	41268.0840983542	5539.05811320927
3	14	6	27042.8060041449	41254.3584365221	5702.07101377734
3	14	7	27091.6811184105	41331.8362954808	5274.22070470577
3	14	8	27147.8044235326	41354.1044698125	5780.87676826885
3	14	11	26953.7451238087	41245.4620508354	5477.38772505783
3	14	12	26614.1395704198	40955.6141932538	5628.70241621498
3	14	13	26547.0405458053	40908.0741516338	5654.0543031353
3	14	14	26609.1079989079	41098.4830044791	5640.51041547951
3	14	15	26815.9868608223	40995.8215346579	5627.58681401319
3	14	16	26597.7021313041	41021.3324753736	5788.88484294678
3	14	17	26694.404006854	40936.9711630325	5728.52395412633
3	14	18	26851.1724010997	41067.886334617	5762.85879259715
3	14	19	26868.9167966825	41030.516249552	5796.80201483208
3	14	20	26799.4878469192	41037.5899910486	5238.93136681978
3	14	22	26897.8513017547	41036.7720089105	5662.07245028741
3	14	23	26924.4379911077	41111.7761040063	5662.70781444902
3	14	24	26588.2960128806	41280.5390745307	5685.42031692696
3	14	27	26881.5941363705	41314.1516732478	5305.38739120902
3	14	28	26776.9078834132	41296.8836057199	5576.26680154022
3	14	29	26854.2602335946	41351.9424699311	5611.69230365717
3	14	31	26724.6384609747	41172.6823711977	5691.87932339045
3	14	32	26858.5006150587	41344.0819634023	5590.23468760276
3	14	33	26662.1888603404	41201.4301671692	5582.01228948936
3	14	34	26925.0758754811	41246.1431585557	5402.34903366374
3	14	35	26903.5459521574	41284.2714862897	5474.84367715837
3	14	36	27035.3943224864	41203.9163397452	5706.21728073954
3	14	37	26930.0206874444	41067.316217618	5553.76699708684
3	14	38	27016.0151037583	41147.6194767882	5223.21738511184
3	14	39	26935.9099433172	41467.8313614998	5350.62808636023
3	14	40	26921.2674215728	41202.190114976	5520.58431389007
3	14	41	26999.2308656111	41086.6059277187	5477.79385485161
3	16	1	161747.3567388	41495.6331820927	3035.30458285182
3	16	2	161808.323647547	41535.3049380738	2841.76672137663
3	16	3	161825.495399496	41587.9274307919	2823.98794788369
3	16	4	161886.314751565	41650.5354547277	2774.665992467
3	16	5	161854.087391171	41580.1344632173	2770.86736220275
3	16	6	161879.732719913	41646.1370938535	2757.92287941486
3	16	8	162328.134196326	41635.7362988462	2880.23179401318
3	16	9	162172.520540946	41725.149006469	2875.64599083119
3	16	10	162537.085226706	41623.4752809479	2806.89304685397
3	16	11	162612.044116834	41287.6469678916	3047.71953044596
3	16	12	162535.684552619	41311.369664229	2999.28741769417
3	16	13	162481.62122062	41042.9025044386	2993.37571796087
3	16	14	162269.666898127	41508.9446052209	2946.44107120588
3	16	15	162462.655471197	41097.1735378442	2944.40239072955
3	16	17	162279.048124385	41427.9673149791	3007.88804587655
3	16	18	162706.711410658	41201.2644278954	2976.67109327307
3	16	20	162376.399520189	41315.279189483	2935.31279753101
